OTU_ID,Pathogen
OTU_704_Microcystis_aeruginosa,No
OTU_407_Microlunatus_panaciterrae,No
OTU_437_Microlunatus_panaciterrae,No
OTU_659_Microlunatus_phosphovorus,No
OTU_513_Microvirga_aerophila,No
OTU_624_Microvirga_aerophila,No
OTU_643_Microvirga_aerophila,No
OTU_1049_Microvirga_lotononidis,No
OTU_2050_Microvirga_subterranea,No
OTU_57_Microvirga_subterranea,No
OTU_276_Microvirga_zambiensis,No
OTU_410_Moorella_thermoacetica,No
OTU_211_Mucilaginibacter_daejeonensis,No
OTU_267_Mucilaginibacter_daejeonensis,No
OTU_867_Mucilaginibacter_daejeonensis,No
OTU_1124_Mucilaginibacter_lutimaris,No
OTU_1353_Mucilaginibacter_paludis,No
OTU_1395_Mucilaginibacter_rigui,No
OTU_88_Mucilaginibacter_rigui,No
OTU_1035_Murdochiella_asaccharolytica,Yes
OTU_134_Mycobacterium_chelonae,No
OTU_172_Mycobacterium_cookii,No
OTU_1187_Mycobacterium_hodleri,No
OTU_845_Mycobacterium_montefiorense,No
OTU_156_Mycobacterium_moriokaense,Yes
OTU_1617_Mycobacterium_mucogenicum,Yes
OTU_1940_Mycobacterium_poriferae,Yes
OTU_2149_Mycobacterium_sediminis,No
OTU_45_Mycobacterium_sediminis,No
OTU_406_Nakamurella_lactea,No
OTU_323_Nakamurella_multipartita,No
OTU_1228_Nakamurella_panacisegetis,No
OTU_1404_Nakamurella_panacisegetis,No
OTU_946_Nakamurella_panacisegetis,No
OTU_1385_Neisseria_perflava,Yes
OTU_1122_Neorhizobium_huautlense,No
OTU_333_Neorhizobium_huautlense,No
OTU_373_Nesterenkonia_lacusekhoensis,No
OTU_523_Niastella_koreensis,No
OTU_761_Niastella_yeongjuensis,No
OTU_681_Nitrolancea_hollandica,No
OTU_1556_Nocardia_coeliaca,Yes
OTU_1436_Nocardioides_alpinus,No
OTU_1912_Nocardioides_alpinus,No
OTU_318_Nocardioides_dubius,No
OTU_670_Nocardioides_halotolerans,No
OTU_633_Nocardioides_hankookensis,No
OTU_1790_Nocardioides_hwasunensis,No
OTU_203_Nocardioides_iriomotensis,No
OTU_2054_Nocardioides_islandensis,No
OTU_1078_Nocardioides_jensenii,No
OTU_754_Nocardioides_kribbensis,No
OTU_736_Nocardioides_plantarum,No
OTU_1075_Nocardioides_sp,No
OTU_971_Nonomuraea_guangzhouensis,No
OTU_776_Noviherbaspirillum_aurantiacum,No
OTU_1737_Noviherbaspirillum_soli,No
OTU_542_Novosphingobium_lindaniclasticum,No
OTU_1555_Novosphingobium_rosa,No
OTU_2197_Novosphingobium_rosa,No
OTU_617_Novosphingobium_rosa,No
OTU_127_Novosphingobium_soli,No
OTU_1518_Novosphingobium_stygium,No
OTU_639_Novosphingobium_stygium,No
OTU_479_Novosphingobium_subterraneum,No
OTU_2198_Oceanibaculum_pacificum,No
OTU_2235_Oligotropha_carboxidovorans,No
OTU_1227_Oribacterium_asaccharolyticum,No
OTU_1223_Orientia_tsutsugamushi,Yes
OTU_1354_Orientia_tsutsugamushi,Yes
OTU_2126_Ottowia_shaoguanensis,No
